Water level predictions and measurements
from NOAA gage 8728690 (Apalachicola, 
Florida) for a three-week period surrounding
Hurricane Michael in October 2018. The
timestamps are formatted as YYYYMMDDhhmm in
Greenwich Mean Time. WL_predict_m are the
harmonic tide predictions in meters relative
to NAVD88. WL_measured_m are the water level
measurements in meters relative to NAVD88.
*
TimeGMT WL_predict_m WL_measured_m
201810010000 0.202 0.291
201810010006 0.207 0.296
201810010012 0.213 0.296
201810010018 0.218 0.299
201810010024 0.223 0.306
201810010030 0.228 0.312
201810010036 0.232 0.314
201810010042 0.236 0.317
201810010048 0.240 0.321
201810010054 0.244 0.322
201810010100 0.247 0.327
201810010106 0.250 0.332
201810010112 0.253 0.338
201810010118 0.256 0.342
201810010124 0.258 0.346
201810010130 0.260 0.351
201810010136 0.262 0.353
201810010142 0.264 0.353
201810010148 0.266 0.358
201810010154 0.267 0.362
201810010200 0.268 0.361
201810010206 0.269 0.362
201810010212 0.270 0.364
201810010218 0.270 0.364
201810010224 0.270 0.360
201810010230 0.270 0.359
201810010236 0.270 0.355
201810010242 0.270 0.358
201810010248 0.269 0.354
201810010254 0.268 0.351
201810010300 0.267 0.353
201810010306 0.266 0.350
201810010312 0.265 0.350
201810010318 0.263 0.350
201810010324 0.262 0.340
201810010330 0.260 0.340
201810010336 0.258 0.339
201810010342 0.256 0.337
201810010348 0.254 0.336
201810010354 0.252 0.330
201810010400 0.249 0.326
201810010406 0.247 0.329
201810010412 0.245 0.325
201810010418 0.242 0.323
201810010424 0.240 0.322
201810010430 0.237 0.316
201810010436 0.235 0.307
201810010442 0.233 0.303
201810010448 0.230 0.296
201810010454 0.228 0.282
201810010500 0.226 0.271
201810010506 0.224 0.263
201810010512 0.222 0.266
201810010518 0.220 0.263
201810010524 0.219 0.253
201810010530 0.218 0.247
201810010536 0.216 0.248
201810010542 0.215 0.246
201810010548 0.214 0.246
201810010554 0.214 0.245
201810010600 0.213 0.243
201810010606 0.213 0.240
201810010612 0.213 0.242
201810010618 0.214 0.235
201810010624 0.214 0.235
201810010630 0.215 0.236
201810010636 0.216 0.237
201810010642 0.217 0.234
201810010648 0.218 0.232
201810010654 0.220 0.231
201810010700 0.221 0.233
201810010706 0.224 0.237
201810010712 0.226 0.237
201810010718 0.228 0.242
201810010724 0.231 0.244
201810010730 0.234 0.246
201810010736 0.237 0.253
201810010742 0.240 0.256
201810010748 0.243 0.249
201810010754 0.247 0.249
201810010800 0.250 0.259
201810010806 0.254 0.273
201810010812 0.258 0.280
201810010818 0.263 0.284
201810010824 0.267 0.288
201810010830 0.271 0.300
201810010836 0.276 0.304
201810010842 0.281 0.308
201810010848 0.285 0.314
201810010854 0.290 0.312
201810010900 0.295 0.319
201810010906 0.300 0.330
201810010912 0.305 0.329
201810010918 0.310 0.329
201810010924 0.315 0.329
201810010930 0.320 0.337
201810010936 0.325 0.335
201810010942 0.330 0.331
201810010948 0.335 0.332
201810010954 0.339 0.338
201810011000 0.344 0.341
201810011006 0.348 0.346
201810011012 0.353 0.354
201810011018 0.357 0.364
201810011024 0.360 0.364
201810011030 0.364 0.367
201810011036 0.367 0.363
201810011042 0.370 0.361
201810011048 0.373 0.361
201810011054 0.375 0.363
201810011100 0.377 0.364
201810011106 0.379 0.362
201810011112 0.380 0.363
201810011118 0.381 0.368
